cell	frip
mSp_rep1_078	0.762000
mSp_rep1_079	0.688777
mSp_rep1_080	0.715918
mSp_rep1_081	0.754298
mSp_rep1_082	0.752798
mSp_rep1_083	0.808657
mSp_rep1_084	0.736569
mSp_rep1_085	0.766835
mSp_rep1_086	0.750593
mSp_rep1_087	0.782815
mSp_rep1_088	0.749530
mSp_rep1_089	0.725917
mSp_rep1_090	0.496503
mSp_rep1_091	0.658702
mSp_rep1_092	0.745725
mSp_rep1_093	0.724615
mSp_rep1_094	0.769134
mSp_rep1_095	0.723668
mSp_rep1_096	0.648148
mSp_rep2_001	0.762079
mSp_rep2_002	0.543334
mSp_rep2_003	0.732233
mSp_rep2_004	0.725934
mSp_rep2_005	0.681045
mSp_rep2_006	0.733950
mSp_rep2_007	0.747010
mSp_rep2_008	0.630008
mSp_rep2_009	0.775755
mSp_rep2_010	0.730361
mSp_rep2_011	0.789123
mSp_rep2_012	0.675464
mSp_rep2_013	0.062386
mSp_rep2_014	0.706052
mSp_rep2_015	0.632548
mSp_rep2_016	0.733411
mSp_rep2_017	0.622572
mSp_rep2_018	0.715607
mSp_rep2_019	0.763064
mSp_rep2_020	0.771739
mSp_rep2_021	0.772790
mSp_rep2_022	0.753592
mSp_rep2_023	0.712803
mSp_rep2_024	0.629970
mSp_rep2_025	0.807325
mSp_rep2_026	0.764927
mSp_rep2_027	0.727610
mSp_rep2_028	0.728351
mSp_rep2_029	0.716326
mSp_rep2_030	0.808381
mSp_rep2_031	0.770626
mSp_rep2_032	0.801850
mSp_rep2_033	0.659624
mSp_rep2_034	0.755931
mSp_rep2_035	0.764843
mSp_rep2_036	0.661901
mSp_rep2_037	0.715156
mSp_rep2_038	0.785695
mSp_rep2_039	0.716378
mSp_rep2_040	0.741066
mSp_rep2_041	0.624379
mSp_rep2_042	0.821848
mSp_rep2_043	0.777154
mSp_rep2_044	0.618691
mSp_rep2_045	0.707034
mSp_rep2_046	0.689097
mSp_rep2_047	0.732446
mSp_rep2_048	0.759820
mSp_rep2_049	0.429728
mSp_rep2_050	0.758977
