cell	library_size
mSp_rep11_342	27452
mSp_rep11_343	13539
mSp_rep11_344	4890
mSp_rep11_345	27030
mSp_rep11_346	22014
mSp_rep11_347	35558
mSp_rep11_348	57990
mSp_rep11_349	29966
mSp_rep11_350	31704
mSp_rep11_351	20825
mSp_rep11_352	28385
mSp_rep11_353	31497
mSp_rep11_354	26196
mSp_rep11_355	35989
mSp_rep11_356	41296
mSp_rep11_357	40915
mSp_rep11_358	30550
mSp_rep11_359	29997
mSp_rep11_360	31942
mSp_rep11_361	30462
mSp_rep11_362	40736
mSp_rep11_363	29081
mSp_rep11_364	18701
mSp_rep11_365	35005
mSp_rep11_366	28769
mSp_rep11_367	31692
mSp_rep11_368	21449
mSp_rep11_369	28129
mSp_rep11_370	40784
mSp_rep11_371	29894
mSp_rep11_372	32463
mSp_rep11_373	35997
mSp_rep11_374	30294
mSp_rep11_375	35432
mSp_rep11_376	33887
mSp_rep11_377	32217
mSp_rep11_378	24529
mSp_rep11_379	17526
mSp_rep11_380	33172
mSp_rep11_381	36157
mSp_rep11_382	39782
mSp_rep11_383	32665
mSp_rep11_384	
mSp_rep1_001	31691
mSp_rep1_002	23939
mSp_rep1_003	16663
mSp_rep1_004	9309
mSp_rep1_005	34986
mSp_rep1_006	24650
mSp_rep1_007	27427
mSp_rep1_008	25182
mSp_rep1_009	18916
mSp_rep1_010	21182
mSp_rep1_011	21298
mSp_rep1_012	20010
mSp_rep1_013	8260
mSp_rep1_014	24091
mSp_rep1_015	24602
mSp_rep1_016	34869
mSp_rep1_017	15906
mSp_rep1_018	45305
mSp_rep1_019	20932
mSp_rep1_020	23486
mSp_rep1_021	12211
mSp_rep1_022	35171
mSp_rep1_023	23079
mSp_rep1_024	15583
mSp_rep1_025	193
mSp_rep1_026	25233
mSp_rep1_027	24112
mSp_rep1_028	32404
mSp_rep1_029	22941
mSp_rep1_030	18364
mSp_rep1_031	19469
mSp_rep1_032	29388
mSp_rep1_033	23333
mSp_rep1_034	24995
mSp_rep1_035	27035
mSp_rep1_036	24652
mSp_rep1_037	21631
mSp_rep1_038	2076
mSp_rep1_039	27999
mSp_rep1_040	9410
mSp_rep1_041	22635
mSp_rep1_042	25100
mSp_rep1_043	20415
mSp_rep1_044	2445
mSp_rep1_045	19841
mSp_rep1_046	23422
mSp_rep1_047	22517
mSp_rep1_048	29259
mSp_rep1_049	23141
mSp_rep1_050	24475
mSp_rep1_051	17907
mSp_rep1_052	18605
mSp_rep1_053	54518
mSp_rep1_054	23948
mSp_rep1_055	25017
mSp_rep1_056	33038
mSp_rep1_057	7222
mSp_rep1_058	18674
mSp_rep1_059	21459
mSp_rep1_060	51338
mSp_rep1_061	31601
mSp_rep1_062	19220
mSp_rep1_063	11001
mSp_rep1_064	15137
mSp_rep1_065	9566
mSp_rep1_066	19658
mSp_rep1_067	21020
mSp_rep1_068	25369
mSp_rep1_069	47124
mSp_rep1_070	26844
mSp_rep1_071	24843
mSp_rep1_072	22297
mSp_rep1_073	25196
mSp_rep1_074	13924
mSp_rep1_075	21970
mSp_rep1_076	32253
mSp_rep1_077	33853
mSp_rep1_078	24219
mSp_rep1_079	37038
mSp_rep1_080	33123
mSp_rep1_081	24556
mSp_rep1_082	16428
mSp_rep1_083	8908
mSp_rep1_084	27825
mSp_rep1_085	28582
mSp_rep1_086	25650
mSp_rep1_087	39668
mSp_rep1_088	24668
mSp_rep1_089	28463
mSp_rep1_090	43175
mSp_rep1_091	28734
mSp_rep1_092	28616
mSp_rep1_093	28673
mSp_rep1_094	26020
mSp_rep1_095	36107
mSp_rep1_096	
mSp_rep2_001	25957
mSp_rep2_002	50736
mSp_rep2_003	29440
mSp_rep2_004	30526
mSp_rep2_005	35329
mSp_rep2_006	32261
mSp_rep2_007	23411
mSp_rep2_008	26410
mSp_rep2_009	17312
mSp_rep2_010	27348
mSp_rep2_011	17799
mSp_rep2_012	34541
mSp_rep2_013	221523
mSp_rep2_014	28671
mSp_rep2_015	37365
mSp_rep2_016	31218
mSp_rep2_017	23122
mSp_rep2_018	11893
mSp_rep2_019	26489
mSp_rep2_020	17050
mSp_rep2_021	23923
mSp_rep2_022	25208
mSp_rep2_023	26521
mSp_rep2_024	39166
mSp_rep2_025	21601
mSp_rep2_026	26032
mSp_rep2_027	35734
mSp_rep2_028	29608
mSp_rep2_029	52286
mSp_rep2_030	2458
mSp_rep2_031	18924
mSp_rep2_032	19038
mSp_rep2_033	64936
mSp_rep2_034	21458
mSp_rep2_035	28073
mSp_rep2_036	16018
mSp_rep2_037	28313
mSp_rep2_038	22155
mSp_rep2_039	33874
mSp_rep2_040	52273
mSp_rep2_041	20152
mSp_rep2_042	6129
mSp_rep2_043	20763
mSp_rep2_044	34288
mSp_rep2_045	36760
mSp_rep2_046	33450
mSp_rep2_047	26688
mSp_rep2_048	30024
mSp_rep2_049	62889
mSp_rep2_050	50360
mSp_rep2_051	30041
mSp_rep2_052	59
mSp_rep2_053	22887
mSp_rep2_054	30621
mSp_rep2_055	1943
mSp_rep2_056	25486
mSp_rep2_057	29385
mSp_rep2_058	26927
mSp_rep2_059	23243
mSp_rep2_060	19615
mSp_rep2_061	19416
mSp_rep2_062	15812
mSp_rep2_063	58348
mSp_rep2_064	25680
mSp_rep2_065	5658
mSp_rep2_066	33518
mSp_rep2_067	22634
mSp_rep2_068	21156
mSp_rep2_069	32534
mSp_rep2_070	32043
mSp_rep2_071	27794
mSp_rep2_072	30528
mSp_rep2_073	28692
mSp_rep2_074	7115
mSp_rep2_075	58764
mSp_rep2_076	4299
mSp_rep2_077	26813
mSp_rep2_078	92174
mSp_rep2_079	4399
mSp_rep2_080	24024
mSp_rep2_081	33125
mSp_rep2_082	16347
mSp_rep2_083	19923
mSp_rep2_084	21876
mSp_rep2_085	27235
mSp_rep2_086	26541
mSp_rep2_087	26646
mSp_rep2_088	26460
mSp_rep2_089	24067
mSp_rep2_090	28987
mSp_rep2_091	15297
mSp_rep2_092	29094
mSp_rep2_093	5182
mSp_rep2_094	34297
mSp_rep2_095	27514
mSp_rep2_096	
mSp_rep3_001	32433
