cell	frip
mSp_rep4_061	0.769212
mSp_rep4_062	0.727522
mSp_rep4_063	0.733317
mSp_rep4_064	0.732356
mSp_rep4_065	0.749505
mSp_rep4_066	0.768581
mSp_rep4_067	0.751763
mSp_rep4_068	0.718785
mSp_rep4_069	0.634983
mSp_rep4_070	0.628873
mSp_rep4_071	0.763885
mSp_rep4_072	0.655615
mSp_rep4_073	0.764643
mSp_rep4_074	0.713483
mSp_rep4_075	0.774750
mSp_rep4_076	0.752223
mSp_rep4_077	0.725209
mSp_rep4_078	0.738560
mSp_rep4_079	0.595325
mSp_rep4_080	0.709452
mSp_rep4_081	0.739261
mSp_rep4_082	0.781872
mSp_rep4_083	0.764797
mSp_rep4_084	0.750616
mSp_rep4_085	0.733174
mSp_rep4_086	0.766211
mSp_rep4_087	0.761004
mSp_rep4_088	0.751647
mSp_rep4_089	0.745393
mSp_rep4_090	0.843826
mSp_rep4_091	0.599086
mSp_rep4_092	0.745765
mSp_rep4_093	0.478274
mSp_rep4_094	0.092097
mSp_rep4_095	0.471649
mSp_rep4_096	0.760238
mSp_rep4_097	0.723127
mSp_rep4_098	0.737741
mSp_rep4_099	0.692811
mSp_rep4_100	0.717755
mSp_rep4_101	0.662738
mSp_rep4_102	0.759244
mSp_rep4_103	0.726287
mSp_rep4_104	0.751496
mSp_rep4_105	0.700573
mSp_rep4_106	0.746620
mSp_rep4_107	0.699087
mSp_rep4_108	0.661731
mSp_rep4_109	0.653992
mSp_rep4_110	0.720047
mSp_rep4_111	0.671434
mSp_rep4_112	0.731821
mSp_rep4_113	0.735889
mSp_rep4_114	0.690291
mSp_rep4_115	0.682285
mSp_rep4_116	0.506251
mSp_rep4_117	0.740250
mSp_rep4_118	0.738181
mSp_rep4_119	0.682066
mSp_rep4_120	0.726909
mSp_rep4_121	0.710893
mSp_rep4_122	0.761236
mSp_rep4_123	0.722079
mSp_rep4_124	0.766844
mSp_rep4_125	0.742610
mSp_rep4_126	0.728256
mSp_rep4_127	0.496249
mSp_rep4_128	0.650051
mSp_rep4_129	0.693735
mSp_rep4_130	0.767586
mSp_rep4_131	0.645756
mSp_rep4_132	0.742107
mSp_rep4_133	0.660005
mSp_rep4_134	0.717382
mSp_rep4_135	0.612433
mSp_rep4_136	0.666559
mSp_rep4_137	0.723762
mSp_rep4_138	0.612404
mSp_rep4_139	0.733874
mSp_rep4_140	0.593663
mSp_rep4_141	0.747999
mSp_rep4_142	0.684360
mSp_rep4_143	0.761940
mSp_rep4_144	0.080261
mSp_rep4_145	0.638006
mSp_rep4_146	0.606917
mSp_rep4_147	0.729383
mSp_rep4_148	0.675227
mSp_rep4_149	0.766737
mSp_rep4_150	0.650148
mSp_rep4_151	0.730209
mSp_rep4_152	0.762633
mSp_rep4_153	0.753770
mSp_rep4_154	0.757844
mSp_rep4_155	0.395909
mSp_rep4_156	0.613827
mSp_rep4_157	0.480073
mSp_rep4_158	0.561271
mSp_rep4_159	0.739055
mSp_rep4_160	0.757990
mSp_rep4_161	0.711404
mSp_rep4_162	0.743290
mSp_rep4_163	0.570122
mSp_rep4_164	0.793449
mSp_rep4_165	0.735608
mSp_rep4_166	0.797322
mSp_rep4_167	0.726279
mSp_rep4_168	0.726990
mSp_rep4_169	0.771510
mSp_rep4_170	0.683445
mSp_rep4_171	0.750207
mSp_rep4_172	0.731276
mSp_rep4_173	0.720550
mSp_rep4_174	0.715392
mSp_rep4_175	0.730916
mSp_rep4_176	0.668567
mSp_rep4_177	0.744098
mSp_rep4_178	0.733729
mSp_rep4_179	0.726222
mSp_rep4_180	0.605002
mSp_rep4_181	0.730573
mSp_rep4_182	0.725032
mSp_rep4_183	0.787145
mSp_rep4_184	0.747244
mSp_rep4_185	0.556630
mSp_rep4_186	0.727325
mSp_rep4_187	0.636731
mSp_rep4_188	0.776778
mSp_rep4_189	0.711897
mSp_rep4_190	0.752228
mSp_rep4_191	0.737027
mSp_rep4_192	0.725856
mSp_rep4_193	0.728985
mSp_rep4_194	0.717445
mSp_rep4_195	0.699823
mSp_rep4_196	0.723125
mSp_rep4_197	0.730281
mSp_rep4_198	0.729108
mSp_rep4_199	0.745782
mSp_rep4_200	0.727325
mSp_rep4_201	0.748936
mSp_rep4_202	0.740899
mSp_rep4_203	0.749773
mSp_rep4_204	0.764324
mSp_rep4_205	0.755632
mSp_rep4_206	0.495527
mSp_rep4_207	0.750963
mSp_rep4_208	0.595034
mSp_rep4_209	0.704516
mSp_rep4_210	0.737908
mSp_rep4_211	0.701771
mSp_rep4_212	0.701787
mSp_rep4_213	0.676092
mSp_rep4_214	0.768244
mSp_rep4_215	0.749637
mSp_rep4_216	0.743333
mSp_rep4_217	0.690603
mSp_rep4_218	0.771462
mSp_rep4_219	0.784106
mSp_rep4_220	0.737657
mSp_rep4_221	0.739738
mSp_rep4_222	0.736408
mSp_rep4_223	0.777173
mSp_rep4_224	0.681859
mSp_rep4_225	0.680747
mSp_rep4_226	0.678889
mSp_rep4_227	0.733207
mSp_rep4_228	0.762504
mSp_rep4_229	0.737087
mSp_rep4_230	0.676970
mSp_rep4_231	0.656048
mSp_rep4_232	0.749601
mSp_rep4_233	0.753937
mSp_rep4_234	0.592969
mSp_rep4_235	0.711008
mSp_rep4_236	0.835454
mSp_rep4_237	0.752578
mSp_rep4_238	0.711952
mSp_rep4_239	0.591070
mSp_rep4_240	0.722456
mSp_rep4_241	0.727000
mSp_rep4_242	0.769274
mSp_rep4_243	0.804515
mSp_rep4_244	0.763437
mSp_rep4_245	0.746026
mSp_rep4_246	0.712420
mSp_rep4_247	0.764437
mSp_rep4_248	0.693460
