cell	library_size
mSp_rep3_058	29717
mSp_rep3_059	1616
mSp_rep3_060	41164
mSp_rep3_061	69414
mSp_rep3_062	30711
mSp_rep3_063	29191
mSp_rep3_064	39889
mSp_rep3_065	39078
mSp_rep3_066	33642
mSp_rep3_067	12681
mSp_rep3_068	25498
mSp_rep3_069	36599
mSp_rep3_070	58515
mSp_rep3_071	34957
mSp_rep3_072	36777
mSp_rep3_073	34359
mSp_rep3_074	19875
mSp_rep3_075	30230
mSp_rep3_076	35896
mSp_rep3_077	26186
mSp_rep3_078	45026
mSp_rep3_079	31477
mSp_rep3_080	27518
mSp_rep3_081	263704
mSp_rep3_082	41149
mSp_rep3_083	36825
mSp_rep3_084	26398
mSp_rep3_085	36649
mSp_rep3_086	28484
mSp_rep3_087	28809
mSp_rep3_088	36552
mSp_rep3_089	17925
mSp_rep3_090	26967
mSp_rep3_091	27482
mSp_rep3_092	188
mSp_rep3_093	61124
mSp_rep3_094	37311
mSp_rep3_095	40481
mSp_rep3_096	33006
mSp_rep3_097	40242
mSp_rep3_098	33542
mSp_rep3_099	36202
mSp_rep3_100	54898
mSp_rep3_101	23789
mSp_rep3_102	23166
mSp_rep3_103	43696
mSp_rep3_104	36676
mSp_rep3_105	11991
mSp_rep3_106	29769
mSp_rep3_107	30600
mSp_rep3_108	25983
mSp_rep3_109	31172
mSp_rep3_110	59545
mSp_rep3_111	26441
mSp_rep3_112	28671
mSp_rep3_113	31811
mSp_rep3_114	53511
